platform_id;certificate_id;issue_date;certificate_fee;course_name;online_date;certificate_name;certificate_type;course_id;course_info;student_id;student_dob;;;;;;;;;;;;;;;;;;;;
386;804;08/08/2032;103,27;Project Management Essentials;15/02/2026;Cloud Fundamentals Certificate;completion;124;"Prepares students to coordinate projects and teams; requires basic organizational and communication skills.";149597;22/11/1971;;;;;;;;;;;;;;;;;;;;
278;680;15/01/2025;1169,77;Excel for Professionals;09/06/2024;Operations Excellence Certificate;advanced;;"Prepares students to automate reporting and work with advanced formulas; requires basic Excel skills.";604534;18/03/1921;;;;;;;;;;;;;;;;;;;;
396;472;15/07/2022;85,22;Data Visualization with Power BI;18/04/2021;Excel Professional Certificate;completion;139;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";963829;06/10/1960;;;;;;;;;;;;;;;;;;;;
280;597;04/09/2035;847,94;Data Governance Fundamentals;16/10/2025;Supply Chain Analytics Certificate;advanced;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity.";552864;27/03/1965;;;;;;;;;;;;;;;;;;;;
301;395;27/04/2031;450;SQL for Data Management;16/08/2022;Statistics for Business Certificate;specialization;;"Prepares students to query and manage relational databases; requires no prior SQL experience.";356561;20/05/1934;;;;;;;;;;;;;;;;;;;;
342;532;06/02/2022;78,33;Agile and Scrum Fundamentals;24/11/2021;Excel Professional Certificate;completion;;"Prepares students to work in agile delivery environments; requires no prior agile certification.";074767;06/04/1941;;;;;;;;;;;;;;;;;;;;
339;427;23/04/2030;238;Leadership in Digital Teams;25/11/2025;;specialization;174;"Prepares students to manage remote and digital teams effectively; requires workplace experience or interest.";302506;02/07/2003;;;;;;;;;;;;;;;;;;;;
249;836;23/07/2032;98,34;Web Development Basics;24/11/2022;Web Development Foundations Certificate;completion;;"Prepares students to understand front-end and back-end web concepts; requires basic computer literacy.";080905;04/12/1930;;;;;;;;;;;;;;;;;;;;
479;930;09/08/2028;930,77;HR Analytics;01/09/2024;Industrial IoT Certificate;advanced;;"Prepares students to analyze workforce and recruitment metrics; requires basic spreadsheet knowledge.";422639;23/03/1966;;;;;;;;;;;;;;;;;;;;
286;59;09/05/2034;81,94;Machine Learning Basics;19/09/2025;AI Productivity Certificate;completion;;"Prepares students to understand supervised learning workflows; requires statistics and Python basics.";469672;22/12/1997;;;;;;;;;;;;;;;;;;;;
92;573;05/06/2022;77,84;Operations Management;13/11/2021;Database Foundations Certificate;completion;;"Prepares students to optimize workflows and resources; requires basic business knowledge.";197904;23/06/1993;;;;;;;;;;;;;;;;;;;;
450;402;18/10/2030;339,12;Excel for Professionals;26/01/2026;Business Analytics Certificate;specialization;;"Prepares students to automate reporting and work with advanced formulas; requires basic Excel skills.";100804;14/01/1950;;;;;;;;;;;;;;;;;;;;
162;986;14/04/2025;202,36;Python for Business Analytics;28/11/2023;Business Intelligence Specialist;specialization;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic.";691035;06/10/1943;;;;;;;;;;;;;;;;;;;;
484;542;29/04/2024;171,5;Agile and Scrum Fundamentals;20/04/2022;Business Analytics Certificate;specialization;;"Prepares students to work in agile delivery environments; requires no prior agile certification.";600069;12/09/1995;;;;;;;;;;;;;;;;;;;;
127;669;02/07/2029;900;Agile and Scrum Fundamentals;15/02/2024;Financial Modeling Certificate;professional;105;"Prepares students to work in agile delivery environments; requires no prior agile certification.";041687;05/08/1968;;;;;;;;;;;;;;;;;;;;
115;291;26/06/2023;311,02;Process Improvement Techniques;27/06/2021;HR Analytics Certificate;specialization;;"Prepares students to improve processes using structured methods; requires analytical thinking.";589483;16/02/2005;;;;;;;;;;;;;;;;;;;;
329;51;03/03/2024;373,26;AI Tools for Productivity;27/10/2022;HR Analytics Certificate;specialization;50;"Prepares students to use modern AI tools responsibly in daily work; requires general digital literacy.";632841;16/08/1965;;;;;;;;;;;;;;;;;;;;
48;861;22/03/2034;310,58;Data Visualization with Power BI;28/09/2024;Data Professional;professional;169;"Prepares students to build business dashboards in Power BI; requires basic data handling skills.";382931;12/07/1944;;;;;;;;;;;;;;;;;;;;
437;43;19/06/2024;835,23;Business Communication Skills;28/08/2022;Project Management Certificate;professional;;"Prepares students to communicate clearly in professional environments; requires no technical background.";088610;07/03/1989;;;;;;;;;;;;;;;;;;;;
291;713;15/02/2026;60,4;Agile and Scrum Fundamentals;22/04/2025;Database Foundations Certificate;completion;195;"Prepares students to work in agile delivery environments; requires no prior agile certification.";914740;05/07/1964;;;;;;;;;;;;;;;;;;;;
47;835;30/01/2025;214,93;Financial Modeling Essentials;17/05/2024;Statistics for Business Certificate;specialization;;"Prepares students to build simple financial models; requires spreadsheet skills and basic finance knowledge.";270697;02/09/1928;;;;;;;;;;;;;;;;;;;;
193;236;10/07/2028;70,91;Database Design Principles;05/11/2022;Web Development Foundations Certificate;completion;;"Prepares students to model business data structures; requires logical reasoning and basic computing knowledge.";933223;23/03/1934;;;;;;;;;;;;;;;;;;;;
485;132;02/10/2031;51,49;SQL for Data Management;13/12/2024;Excel Professional Certificate;completion;33;"Prepares students to query and manage relational databases; requires no prior SQL experience.";166777;23/12/1950;;;;;;;;;;;;;;;;;;;;
376;408;08/02/2034;899,45;Python for Business Analytics;11/04/2025;Machine Learning Foundations Certificate;advanced;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic.";245206;26/11/1966;;;;;;;;;;;;;;;;;;;;
356;457;05/11/2025;858,06;Industrial IoT Fundamentals;22/09/2025;Supply Chain Analytics Certificate;advanced;;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity.";528161;21/06/1994;;;;;;;;;;;;;;;;;;;;
160;195;02/09/2021;413,07;R for Data Analysis;22/03/2021;Statistics for Business Certificate;specialization;176;"Prepares students to perform statistical analysis in R; requires basic statistics knowledge.";526713;05/01/1941;;;;;;;;;;;;;;;;;;;;
447;923;12/12/2023;900;Data Governance Fundamentals;23/06/2023;Project Management Certificate;professional;;"Prepares students to define standards for data quality and ownership; requires spreadsheet familiarity.";801726;18/06/1944;;;;;;;;;;;;;;;;;;;;
181;238;24/10/2022;900;Risk Management Essentials;08/05/2021;Power BI Analyst Certificate;professional;;"Prepares students to identify, assess, and report business risks; requires basic business literacy.";370471;16/11/1974;;;;;;;;;;;;;;;;;;;;
407;726;24/05/2024;129,01;Python for Business Analytics;14/05/2022;Business Intelligence Specialist;specialization;;"Prepares students to analyze business data with Python; requires familiarity with spreadsheets and basic logic.";797584;09/11/1977;;;;;;;;;;;;;;;;;;;;
122;64;03/11/2025;52,26;Process Improvement Techniques;27/01/2024;Cloud Fundamentals Certificate;completion;;"Prepares students to improve processes using structured methods; requires analytical thinking.";192197;14/12/1996;;;;;;;;;;;;;;;;;;;;
419;473;06/09/2022;32,7;ERP Systems Introduction;06/09/2021;Database Foundations Certificate;completion;119;"Prepares students to understand ERP workflows and organizational data; requires basic business process awareness.";307015;07/05/1967;;;;;;;;;;;;;;;;;;;;
267;73;26/09/2025;47,74;Digital Marketing Analytics;04/10/2023;Database Foundations Certificate;completion;;"Prepares students to measure campaign performance and customer behavior; requires basic marketing concepts.";104393;21/08/1997;;;;;;;;;;;;;;;;;;;;
136;317;02/05/2025;716,99;Industrial IoT Fundamentals;04/04/2021;Supply Chain Analytics Certificate;advanced;11;"Prepares students to understand sensors, connectivity, and monitoring systems; requires basic technical curiosity.";554421;15/06/1927;;;;;;;;;;;;;;;;;;;;
136;317;02/05/2025;1039,08;Process Improvement Techniques;04/04/2021;Supply Chain Analytics Certificate;advanced;58;"Prepares students to improve processes using structured methods; requires analytical thinking.";485245;17/04/1999;;;;;;;;;;;;;;;;;;;;
